Country,Eligible population,Total English Speakers Number,Total English Speakers Percentage,As first language Number,As first language Percentage,As an additional language number,As an additional language percentage
 United States,331002651,316107532,95.5,258513070,78.1,57594462,17.4
 India,1350000000,128539090,10.5,259678,0.02,128279412,10.59
 Pakistan,220892331,108044691,53.5,8642,0.0035,108036049,50
 Nigeria,206200000,125039680,57,37157240,18.02,103198040,68.4
 Philippines,110000000,64025890,58.2,36935,0.04,63988955,63.72
 United Kingdom,64000000,62912000,98.3,59072000,92.3,3840000,6
 Germany,80600000,45400000,56,392000,0.47,45100000,56
 Uganda,44270000,39800000,89.9,0,0,39800000,89.9
 France,67500000,38643750,57.25,0,0,38643750,57.25
 Canada,37138500,30480750,83.06,20193335,54.37,10287415,28.69
 Egypt,102289500,32101325,39.98,0,0,32101325,35
 Australia,23401892,21715910,92.8,17020421,72.74,4695489,20.06
 Bangladesh,165323100,19838772,12,709873,0.43,16398158,9.9
 Poland,38501000,18890000,49.06,103541,0.3,18786459,50
 Ghana,27000000,18000000,66.67,0,0,18000000,66.67
 Thailand,63038247,17121187,27.16,0,0,17121187,27.16
 Italy,59619290,17000000,34,0,0,17000000,34
 South Africa,52981991,16424417,31,4930510,9.31,11493907,22
 Mexico,120664000,15686262,12.9,0,0,15686262,12.9
 Malaysia,27170000,15580000,62.57,380000,1.4,15200000,61.1
 Netherlands,16770000,15250000,90.9,0,0,15250000,90.9
 Turkey,80200256,12000000,17,0,0,12000000,17
 Zimbabwe,14439000,11850710,82.07,505365,3.52,11530710,79.86
 Iraq,31700000,11095000,35,0,0,11000000,0
 Brazil,205000000,10542000,5,292000,0.14,10250000,5
 Spain,47190000,10400000,22,0,0,10400000,22
 China,1432035200,10000000,0.9,0,0,10000000,0.5
 Sweden,10377771,9236000,89,0,0,9236000,89
 Kenya,43013431,8100000,18.83,0,0,7900000,0
 Cameroon,19740000,7500000,38,0,0,7500000,38
 Morocco,37340000,6883220,18.3,0,0,6883220,18.3
 Belgium,10584534,6250000,60,0,0,6250000,60
 Israel,7303000,6205000,84.97,100000,1.37,6105000,83.6
 Austria,8415000,6150000,73,0,0,6150000,73
 Romania,19043767,5900000,31,0,0,5900000,31
 Hungary,9982000,5689740,57,0,0,9982000,57
 Greece,10787690,5500000,51,0,0,5500000,51
 Czechia,10562214,5350000,50.65,0,0,5350000,50
 Russia,144699673,7000000,5,0,0,0,0
 Ukraine,43790000,2189500,5,0,0,0,0
 Sierra Leone,5866000,4900000,83.53,500000,8.52,4400000,75
 Denmark,5543000,4770000,86,0,0,4770000,86
  Switzerland,7637300,4680000,61.28,73400,0.96,4606600,60.32
 Norway,5136700,4500000,90,0,0,4500000,90
 Papua New Guinea,6331000,4459191,48.9,0,0,0,0
 Ireland,4422100,4350000,98.37,4112100,93.22,237900,5.38
 New Zealand,4275100,4181902,97.82,3673623,85.93,508279,11.89
 Madagascar,23042300,4147614,18,0,0,4147614,18
 Tanzania,40454000,4000000,9.89,0,0,4000000,9.89
 Sri Lanka,21803000,3994174,18.32,10000,0.05,3994174,18.32
 Singapore,4044200,3900000,96.43,1953348,48.3,0,0
 Finland,5410000,3800000,75,0,0,3800000,70
 Cambodia,15766292,3500000,22.2,0,0,3500000,22.2
 Hong Kong,6808433,3136784,46.07,238288,3.5,2898496,42.57
 Liberia,3750000,3100000,82.67,600000,16,2500000,66.67
 Jordan,6598000,2969370,45,0,0,2969370,45
 Portugal,10623000,2900000,27,0,0,2900000,27
 Argentina,42192500,2752681,6.52,0,0,0,0
 Jamaica,2714000,2650000,97.64,45900,1.69,2604100,95.95
 Croatia,4555000,2600000,60,0,0,3950000,87.8
 Algeria,35954000,2516780,7,0,0,2516780,7
 Myanmar,53900000,2400000,4.45,0,0,2400000,4.45
 Yemen,24800000,2232000,9,0,0,2232000,9
 Colombia,47661368,2012950,4.22,75600,0.16,1937350,4.06
 Puerto Rico,3991000,1940000,48.61,100000,2.51,1840000,46.1
 Zambia,11922000,1910000,16.02,110000,0.92,1800000,15.1
 Bulgaria,7640238,1900000,25,2605,0.03,1902605,0
 Kazakhstan,12156705,1874583,15.4,602,0,1873981,15.42
 Lebanon,4265600,1706000,40,0,0,1706000,40
 Chile,16634603,1585027,9.53,0,0,0,0
 Rwanda,10137400,1520610,15,0,0,1520610,15
 Slovakia,5397036,1400000,26,0,0,1400000,26
 Slovenia,2050000,1210000,59,0,0,1210000,59
 Lithuania,3053800,1160000,38,0,0,1160000,38
 Trinidad and Tobago,1305000,1145000,87.74,0,0,1145000,87.74
 Latvia,2070371,950000,46,0,0,950000,46
   Nepal,29890686,896720,3,20000,0.07,876720,2.93
 Uruguay,3500000,840000,24,0,0,840000,24
 Guyana,751000,680000,90.55,0,0,680000,90.55
 Estonia,1294236,650000,50.22,0,0,650000,50
 Botswana,1639833,630000,38.42,0,0,630000,38.42
 Cyprus,839000,610000,73,0,0,610000,73
 Panama,4176869,584762,14,0,0,0,0
 Eswatini,1141000,550000,48.2,0,0,550000,4.38
 Malawi,13931831,540209,3.88,209,<0.1,540000,3.87
 Lesotho,1795000,500000,27.86,0,0,500000,27.86
 Suriname,470784,410000,87.09,0,0,0,0
 Malta,453000,400000,89,48000,10.6,352000,77.7
 Iceland,376248,368723,98,0,0,0,0
 Namibia,1820916,314000,17.24,14000,0.77,300000,16.48
 Luxembourg,509000,290000,56,0,0,290000,56
 Bahamas,330549,288000,87.13,0,0,0,0
 Barbados,296000,296000,100,10000,3.38,286000,96.62
 Belize,301270,246000,81.65,16870,5.6,229130,81.65
 Costa Rica,4910526,400415,8.2,0,0,400415,8.2
 Mauritius,1264866,202000,15.97,2000,0.16,200000,15.81
 Vanuatu,215446,180000,83.55,60000,27.85,120000,55.7
 Fiji,853445,176000,20.62,6000,0.7,170000,19.92
 Solomon Islands,552438,175000,31.68,10000,1.81,165000,29.87
 Guam,173456,158000,91.09,58000,33.44,100000,57.65
 Brunei,381371,144000,39.07,10000,2.62,134000,35.14
 Saint Vincent and the Grenadines,120000,114000,95,0,0,0,0
 U.S. Virgin Islands,107000,86000,80.37,86000,80.37,0,0
 Grenada,110000,100000,90.91,0,0,0,0
 Samoa,188540,94000,49.86,1000,0.53,93000,49.33
 Isle of Man,80058,80000,99.93,80000,99.93,0,0
 Saint Lucia,165000,71000,43.03,31000,18.79,40000,24.24
 Northern Mariana Islands,84000,70000,83.33,5000,5.95,65000,77.38
 Antigua and Barbuda,85000,68000,80,0,0,0,0
 Federated States of Micronesia,111000,64000,57.66,4000,3.6,60000,54.05
 Bermuda,65000,63000,96.92,63000,96.92,0,0
 Dominica,67000,63000,94.03,3000,4.48,60000,89.55
 Marshall Islands,59000,58000,98.33,0,0,500,<1
 American Samoa,57345,45933,80.1,1791,3.12,44142,76.98
 Aruba,104000,44000,42.31,9000,8.65,35000,0
 The Gambia,1709000,40000,2.34,0,0,40000,2.34
 Saint Kitts and Nevis,50000,39000,78,0,0,0,0
 Cayman Islands,47000,36000,76.6,36000,76.6,0,0
 Seychelles,87000,33000,37.93,3000,3.45,30000,34.48
 Tonga,100000,30000,30,0,0,30000,30
 Gibraltar,28875,28875,100,28000,96.97,875,3.03
 Kiribati,95000,23000,24.21,0,0,23000,24.21
 British Virgin Islands,23000,20000,86.96,20000,86.96,0,0
 Palau,20000,18500,92.5,500,2.5,18000,0
 Andorra,81222,17869,22,0,0,17869,22
 Anguilla,13000,12000,92.31,0,0,0,0
 Nauru,12000,11600,96.67,900,7.5,10700,89.17
 Cook Islands,20200,4000,19.8,1000,4.95,3000,14.85
 Montserrat,5900,4000,67.8,4000,67.8,0,0
,,,,,,,
